model,threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc
logistic_regression,0.5,0.787106941288573,0.0509266989480714,0.7093023255813954,0.0950303785636391,0.1978207290180308,0.8175146864240636,0.1535310938810552
logistic_regression,0.81,0.9627647878032692,0.1815217391304348,0.3883720930232558,0.2474074074074074,0.3162878787878788,0.8175146864240636,0.1535310938810552
logistic_regression,0.84,0.9700579051528256,0.210762331838565,0.327906976744186,0.2565969062784349,0.2951025533696107,0.8175146864240636,0.1535310938810552
random_forest,0.3,0.9788536245693762,0.3881278538812785,0.5930232558139535,0.4691812327506899,0.5363904080774085,0.9152593764504576,0.388184238337079
random_forest,0.46,0.984314300373818,0.5024752475247525,0.4720930232558139,0.486810551558753,0.4778719397363465,0.9152593764504576,0.388184238337079
random_forest,0.5,0.9846074910210364,0.5138121546961326,0.4325581395348837,0.4696969696969697,0.446685878962536,0.9152593764504576,0.388184238337079
random_forest_tuned,0.5,0.9720369420215496,0.3088404133180252,0.6255813953488372,0.4135280553420445,0.5191045928213045,0.9233620653822974,0.3990661296103466
random_forest_tuned,0.58,0.977460968995089,0.3676680972818312,0.5976744186046512,0.4552701505757307,0.531211244315833,0.9233620653822974,0.3990661296103466
random_forest_tuned,0.71,0.9831048889540424,0.46723044397463,0.513953488372093,0.4894795127353267,0.5038759689922481,0.9233620653822974,0.3990661296103466
xgboost,0.14,0.9789635710620832,0.3885448916408668,0.5837209302325581,0.466542750929368,0.5304311073541843,0.9261047723950646,0.4374120446687553
xgboost,0.27,0.984314300373818,0.5024630541871922,0.4744186046511628,0.4880382775119617,0.4797742238946378,0.9261047723950646,0.4374120446687553
xgboost,0.5,0.985926848933519,0.6138613861386139,0.2883720930232558,0.3924050632911392,0.3225806451612903,0.9261047723950646,0.4374120446687553
xgboost_final,0.09,0.9726599721468885,0.3167053364269142,0.6348837209302326,0.42260061919504643,0.5286599535243997,0.9261047723950646,0.43741204466875533
xgboost_tuned,0.11,0.9759217180971927,0.3488681757656458,0.6093023255813953,0.4436917866215072,0.5301497369486038,0.9249670075025458,0.4368936695825853
xgboost_tuned,0.2,0.9816022868870484,0.4315589353612167,0.5279069767441861,0.4748953974895397,0.5053428317008014,0.9249670075025458,0.4368936695825853
xgboost_tuned,0.5,0.9861833907498352,0.6645962732919255,0.2488372093023255,0.3620981387478849,0.2844231791600212,0.9249670075025458,0.4368936695825853
